County,,Total Votes Cast,DEM,REP,CON,IND,IND,IND,IND,IND,,,IND,IND,IND,IND,
,,,"Joseph R. Biden 
 Kamala D. Harris","Donald J. Trump 
 Michael R. Pence","Don Blankenship 
 William Mohr","Jo Jorgensen 
 Jeremy Spike Cohen","Brian Carroll 
 Amar Patel",Kasey Wells (write-in),"Jade Simmons
Claudeliah J. Roze (write-in)",President R19 Boddie (write-in),,,"Howie Hawkins 
 Angela Walker (write-in)","Gloria La Riva
Sunil Freeman (write-in)","Kanye West 
 Michelle Tidball (write-in)","Mark Charles
Adrian Wallace (write-in)",SCATTERING
ADAMS ,,"11,818","4,329","7,362",27,85,3,0,0,0,,,1,0,1,0,10
ASHLAND ,,"8,757","4,801","3,841",11,70,11,0,0,0,,,6,0,1,0,16
BARRON ,,"25,346","9,194","15,803",37,262,21,1,0,0,,,13,1,3,0,11
BAYFIELD ,,"10,880","6,147","4,617",11,80,13,0,0,0,,,7,0,0,1,4
BROWN ,,"144,017","65,511","75,871",215,"1,829",206,1,0,0,,,33,2,19,2,328
BUFFALO ,,"7,816","2,860","4,834",20,80,10,0,0,0,,,0,0,0,1,11
BURNETT ,,"10,141","3,569","6,462",13,86,9,0,0,0,,,1,0,0,1,0
CALUMET ,,"30,774","12,116","18,156",42,363,75,0,0,0,,,6,0,3,0,13
CHIPPEWA ,,"35,938","13,983","21,317",60,501,45,0,0,0,,,5,1,2,0,24
CLARK ,,"14,898","4,524","10,002",32,168,147,1,1,0,,,2,0,0,0,21
COLUMBIA ,,"33,869","16,410","16,927",61,421,32,0,1,0,,,15,0,2,0,0
CRAWFORD ,,"8,695","3,953","4,620",18,92,12,0,0,0,,,0,0,0,0,0
DANE ,,"344,791","260,185","78,800",404,"3,668",583,1,5,0,,,216,42,67,12,808
DODGE ,,"48,436","16,356","31,355",90,535,81,1,0,0,,,11,0,6,1,0
DOOR ,,"20,117","10,044","9,752",27,231,22,0,0,0,,,10,0,0,0,31
DOUGLAS ,,"24,677","13,218","10,923",42,379,41,0,0,0,,,1,0,0,0,73
DUNN ,,"23,524","9,897","13,173",44,368,28,1,0,0,,,11,0,2,0,0
EAU CLAIRE ,,"58,275","31,620","25,341",97,925,91,0,3,0,,,21,1,10,0,166
FLORENCE ,,"2,940",781,"2,133",4,22,0,0,0,0,,,0,0,0,0,0
FOND DU LAC ,,"57,251","20,588","35,754",91,686,75,0,2,0,,,17,1,7,1,29
FOREST ,,"5,053","1,721","3,285",6,35,2,0,0,0,,,0,0,0,0,4
GRANT ,,"25,608","10,998","14,142",34,350,34,0,0,0,,,10,0,0,0,40
GREEN ,,"21,406","10,851","10,169",38,271,27,0,1,0,,,10,0,2,3,34
GREEN LAKE ,,"10,671","3,344","7,168",15,110,11,0,0,0,,,1,0,0,0,22
IOWA ,,"13,992","7,828","5,909",25,161,44,0,0,0,,,4,0,5,0,16
IRON ,,"4,010","1,533","2,438",6,26,1,0,0,0,,,1,0,0,0,5
JACKSON ,,"10,184","4,256","5,791",17,111,8,0,0,0,,,1,0,0,0,0
JEFFERSON ,,"47,979","19,904","27,208",69,634,44,0,1,0,,,9,0,3,0,107
JUNEAU ,,"13,709","4,746","8,749",21,146,21,0,0,0,,,2,0,0,0,24
KENOSHA ,,"88,738","42,193","44,972",147,"1,037",120,0,0,0,,,35,0,10,0,224
KEWAUNEE ,,"12,095","3,976","7,927",26,127,12,0,1,0,,,5,0,2,1,18
LA CROSSE ,,"67,884","37,846","28,684",135,877,121,0,1,0,,,20,3,12,1,184
LAFAYETTE ,,"8,555","3,647","4,821",15,57,9,0,0,0,,,4,0,0,0,2
LANGLADE ,,"11,165","3,704","7,330",20,94,13,0,1,0,,,3,0,0,0,0
LINCOLN ,,"16,497","6,261","10,017",31,175,13,0,0,0,,,0,0,0,0,0
MANITOWOC ,,"44,829","16,818","27,218",75,553,87,0,1,0,,,10,0,5,1,61
MARATHON ,,"76,751","30,808","44,624",151,929,93,0,2,0,,,13,2,5,0,124
MARINETTE ,,"22,979","7,366","15,304",33,237,32,0,0,0,,,5,0,2,0,0
MARQUETTE ,,"9,065","3,239","5,719",10,78,4,0,0,0,,,2,1,0,0,12
MENOMINEE ,,"1,590","1,303",278,3,6,0,0,0,0,,,0,0,0,0,0
MILWAUKEE ,,"458,971","317,270","134,357",623,"4,340",751,3,6,1,,,214,37,107,11,"1,251"
MONROE ,,"22,611","8,433","13,775",66,263,30,0,0,0,,,3,0,1,0,40
OCONTO ,,"23,215","6,715","16,226",40,210,20,0,0,0,,,2,0,2,0,0
ONEIDA ,,"24,159","10,105","13,671",43,283,17,5,1,4,,,3,0,0,0,27
OUTAGAMIE ,,"108,022","47,667","58,385",172,"1,569",177,0,0,0,,,34,0,15,3,0
OZAUKEE ,,"61,486","26,517","33,912",82,647,89,0,0,0,,,19,1,6,4,209
PEPIN ,,"4,144","1,489","2,584",13,51,4,0,0,0,,,2,0,1,0,0
PIERCE ,,"23,317","9,796","12,815",57,383,218,0,0,0,,,5,0,4,0,39
POLK ,,"26,371","9,370","16,611",53,289,36,0,0,0,,,11,0,1,0,0
PORTAGE ,,"40,603","20,428","19,299",67,640,67,0,1,0,,,31,2,0,1,67
PRICE ,,"8,546","3,032","5,394",14,98,5,0,0,0,,,1,1,1,0,0
RACINE ,,"106,451","50,159","54,479",169,"1,200",150,0,2,0,,,43,2,12,2,233
RICHLAND ,,"9,014","3,995","4,871",20,102,14,0,0,0,,,0,0,0,0,12
ROCK ,,"85,360","46,658","37,138",152,"1,094",122,0,0,0,,,14,2,3,0,177
RUSK ,,"7,886","2,517","5,257",12,85,8,0,0,0,,,0,0,2,0,5
SAUK ,,"36,203","18,108","17,493",50,441,89,0,0,0,,,15,0,7,0,0
SAWYER ,,"10,510","4,498","5,909",15,62,8,0,0,0,,,1,1,0,1,15
SHAWANO ,,"22,615","7,131","15,173",33,253,17,0,0,0,,,3,0,4,1,0
SHEBOYGAN ,,"66,011","27,101","37,609",133,896,90,8,0,0,,,2,0,5,0,167
ST. CROIX ,,"56,707","23,190","32,199",115,878,169,0,0,0,,,13,4,5,1,133
TAYLOR ,,"10,686","2,693","7,657",31,113,185,2,0,0,,,1,0,1,0,3
TREMPEALEAU ,,"15,380","6,285","8,833",38,177,21,0,0,0,,,3,0,2,0,21
VERNON ,,"15,923","7,457","8,218",29,182,24,0,0,0,,,6,0,1,2,4
VILAS ,,"15,369","5,903","9,261",22,138,14,0,0,0,,,0,0,0,0,31
WALWORTH ,,"57,600","22,789","33,851",98,641,75,0,0,0,,,15,0,8,0,123
WASHBURN ,,"10,378","3,867","6,334",19,123,13,0,0,0,,,4,0,0,0,18
WASHINGTON ,,"88,070","26,650","60,237",125,941,78,1,0,0,,,28,0,10,0,0
WAUKESHA ,,"267,996","103,906","159,649",305,"3,023",331,0,6,0,,,54,5,26,1,690
WAUPACA ,,"29,130","9,703","18,952",48,357,29,0,0,0,,,4,0,2,0,35
WAUSHARA ,,"13,568","4,388","9,016",30,115,19,0,0,0,,,0,0,0,0,0
WINNEBAGO ,,"94,032","44,060","47,796",168,"1,629",138,0,0,0,,,38,1,12,0,190
WOOD ,,"41,298","16,365","24,308",79,403,49,0,0,0,,,9,0,4,0,81
Office Totals:,,"3,297,352","1,630,673","1,610,065","5,144","38,491","5,258",25,36,5,,,"1,089",110,411,52,"5,993"